                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.42018,                 1.1301,                0.89742,                0.98228,                0.99796,                  0.995,                0.95173,                0.43212,                 1.3364,                0.84209,             0.00015556,             0.00015556,             0.00015556
                     36,                0.47593,                 1.1855,                0.98366,                0.98228,                0.99796,                  0.995,                0.95173,                0.43212,                 1.3364,                0.84209,             0.00014613,             0.00014613,             0.00014613
                     37,                0.43085,                 1.0982,                0.90385,                0.98216,                0.99777,                  0.995,                0.94637,                0.43937,                 1.4007,                0.84354,             0.00013671,             0.00013671,             0.00013671
                     38,                0.47187,                 1.1354,                0.95949,                0.98346,                0.99779,                  0.995,                0.94758,                0.43258,                 1.3862,                0.83879,             0.00012728,             0.00012728,             0.00012728
                     39,                0.48574,                  1.136,                 1.0282,                0.98495,                0.99796,                  0.995,                0.95025,                0.40742,                 1.3356,                0.82825,             0.00011786,             0.00011786,             0.00011786
                     40,                0.36481,                 1.4473,                0.84063,                0.98495,                0.99796,                  0.995,                0.95025,                0.40742,                 1.3356,                0.82825,             0.00010843,             0.00010843,             0.00010843
                     41,                0.37937,                 1.4287,                0.84417,                0.98608,                0.99814,                  0.995,                0.95276,                0.38887,                  1.273,                0.82025,             9.9008e-05,             9.9008e-05,             9.9008e-05
                     42,                0.34137,                 1.4248,                0.82012,                0.98547,                0.99828,                  0.995,                0.94802,                0.36811,                 1.2417,                0.81136,             8.9583e-05,             8.9583e-05,             8.9583e-05
                     43,                0.31143,                 1.3369,                0.83057,                 0.9844,                0.99816,                  0.995,                0.95524,                 0.3556,                 1.2614,                0.80327,             8.0158e-05,             8.0158e-05,             8.0158e-05
                     44,                0.34707,                 1.4467,                0.83998,                 0.9844,                0.99816,                  0.995,                0.95524,                 0.3556,                 1.2614,                0.80327,             7.0734e-05,             7.0734e-05,             7.0734e-05
                     45,                0.29618,                 1.4121,                0.83206,                0.98485,                0.99828,                  0.995,                0.95885,                0.34921,                 1.2522,                0.79766,             6.1309e-05,             6.1309e-05,             6.1309e-05
                     46,                0.34693,                 1.6259,                0.82494,                0.98658,                0.99852,                  0.995,                0.95202,                0.35106,                 1.2184,                0.79547,             5.1884e-05,             5.1884e-05,             5.1884e-05
                     47,                0.32441,                 1.4585,                0.80761,                0.98882,                0.99881,                  0.995,                0.95164,                0.35489,                 1.1847,                0.79487,             4.2459e-05,             4.2459e-05,             4.2459e-05
                     48,                0.29715,                 1.3802,                0.80661,                0.98882,                0.99881,                  0.995,                0.95164,                0.35489,                 1.1847,                0.79487,             3.3034e-05,             3.3034e-05,             3.3034e-05
                     49,                0.29503,                 1.4233,                0.85232,                0.99039,                 0.9992,                  0.995,                0.95133,                0.35757,                 1.1445,                0.79443,              2.361e-05,              2.361e-05,              2.361e-05
